datetime,bid,ask,open_interest,volume
2023-07-20 09:31:48,0,1,0,0
2023-07-20 09:48:33,0,2,0,0
2023-07-20 09:48:54,0,1,0,0
2023-07-20 10:11:13,0,2,804,804
2023-07-20 10:11:43,0,1,804,804
2023-07-20 10:11:44,0,2,804,804
2023-07-20 10:11:57,0,1,804,804
2023-07-20 10:20:22,0,2,804,804
2023-07-20 10:21:28,0,1,804,804
2023-07-20 10:21:40,0,2,804,804
2023-07-20 10:21:41,0,1,804,804
2023-07-20 10:22:06,0,2,804,804
2023-07-20 10:22:07,0,1,804,804
2023-07-20 10:22:13,0,2,804,804
2023-07-20 10:22:14,0,1,804,804
2023-07-20 10:22:16,0,2,804,804
2023-07-20 10:22:43,0,1,804,804
2023-07-20 10:22:44,0,2,804,804
2023-07-20 10:24:32,0,1,804,804
2023-07-20 10:24:32,0,2,804,804
2023-07-20 10:26:13,0,1,804,804
2023-07-20 10:26:13,0,2,804,804
2023-07-20 10:26:13,0,1,804,804
2023-07-20 10:33:28,1,2,948,948
2023-07-20 10:33:28,1,2,1147,1147
2023-07-20 10:34:14,1,2,1396,1396
2023-07-20 10:34:37,1,2,1445,1445
2023-07-20 10:34:41,1,2,1547,1547
2023-07-20 10:37:04,1,2,1597,1597
2023-07-20 10:37:08,1,2,1697,1697
2023-07-20 10:37:24,1,2,1797,1797
2023-07-20 10:37:29,1,2,1847,1847
2023-07-20 10:37:32,1,2,1896,1896
2023-07-20 10:39:44,1,2,2047,2047
2023-07-20 10:41:47,1,2,2147,2147
2023-07-20 10:42:16,1,2,2247,2247
2023-07-20 10:43:08,1,2,2296,2296
2023-07-20 10:43:51,1,2,2446,2446
2023-07-20 10:44:09,1,2,2541,2541
2023-07-20 10:46:12,1,2,2640,2640
2023-07-20 10:46:37,1,2,2793,2793
2023-07-20 10:46:58,1,2,2842,2842
2023-07-20 10:47:19,1,2,3042,3042
2023-07-20 10:47:47,1,2,3116,3116
2023-07-20 10:47:47,1,2,3190,3190
2023-07-20 10:48:02,0,2,3304,3304
2023-07-20 10:52:16,0,1,3304,3304
2023-07-20 10:52:29,0,2,3304,3304
2023-07-20 10:52:32,0,1,3304,3304
2023-07-20 14:26:58,1,2,3908,3908
2023-07-20 14:31:13,1,2,3909,3909
2023-07-20 15:02:41,1,2,4011,4011
2023-07-20 15:16:39,2,3,4812,4812
2023-07-20 15:18:20,2,3,4813,4813
2023-07-20 15:18:35,2,3,4918,4918
2023-07-20 15:18:41,2,3,4957,4957
2023-07-20 15:19:32,2,3,5007,5007
2023-07-20 15:22:13,2,3,5009,5009
2023-07-20 15:22:13,2,3,5011,5011
2023-07-20 15:23:09,2,3,10011,10011
2023-07-20 15:24:03,2,3,10014,10014
2023-07-20 15:24:59,2,3,10018,10018
2023-07-20 15:25:19,2,3,10023,10023
2023-07-20 15:27:38,2,3,10066,10066
2023-07-20 15:27:39,2,3,10111,10111
2023-07-20 15:27:39,2,3,10128,10128
2023-07-20 15:27:40,2,3,10173,10173
2023-07-20 15:27:43,2,3,10373,10373
2023-07-20 15:27:44,2,3,10384,10384
2023-07-20 15:28:02,2,3,10399,10399
2023-07-20 15:28:10,2,3,10481,10481
2023-07-20 15:29:17,2,3,10580,10580
2023-07-20 15:30:31,2,3,10680,10680
2023-07-20 15:30:32,2,3,10880,10880
2023-07-20 15:30:32,2,3,10925,10925
2023-07-20 15:30:33,2,3,10966,10966
2023-07-20 15:30:33,1,3,11011,11011
2023-07-20 15:31:29,1,2,11011,11011
2023-07-20 15:31:29,1,2,11013,11013
2023-07-20 15:31:29,1,3,11013,11013
2023-07-20 15:31:29,1,2,11013,11013
2023-07-20 15:31:29,1,3,11013,11013
2023-07-20 15:32:07,1,2,11013,11013
2023-07-20 15:32:12,1,3,11013,11013
2023-07-20 15:42:05,1,3,11060,11060
2023-07-20 15:43:24,1,2,11060,11060
2023-07-20 15:43:26,1,3,11060,11060
2023-07-20 15:43:57,1,3,11062,11062
2023-07-20 15:44:29,1,3,11072,11072
2023-07-20 15:45:09,1,3,13768,14572
2023-07-20 15:47:08,1,3,16323,17127
2023-07-20 15:47:31,1,3,16786,17590
2023-07-20 15:49:09,0,3,19500,20305
2023-07-20 15:54:33,0,2,19500,20305
2023-07-20 15:54:34,0,3,19500,20305
2023-07-20 15:54:36,0,2,19500,20305
2023-07-20 15:54:37,0,3,19500,20305
2023-07-20 15:54:37,0,2,19500,20305
2023-07-20 15:54:40,0,3,19500,20305
2023-07-20 15:54:40,0,2,19500,20305
2023-07-20 15:54:41,0,3,19500,20305
2023-07-20 15:55:07,0,1,19500,20305
