datetime,bid,ask,open_interest,volume
2023-06-22 09:31:00,32,33,2371,2841
2023-06-22 09:31:00,27,32,2503,2973
2023-06-22 09:31:01,28,33,2503,2973
2023-06-22 09:31:01,28,32,2503,2973
2023-06-22 09:31:01,29,32,2503,2973
2023-06-22 09:31:01,29,32,2503,3023
2023-06-22 09:31:03,28,32,2503,3023
2023-06-22 09:31:15,29,30,2503,3023
2023-06-22 09:31:24,27,30,2503,3023
2023-06-22 09:31:25,28,30,2503,3023
2023-06-22 09:31:28,28,29,2503,3023
2023-06-22 09:31:35,28,30,2503,3023
2023-06-22 09:31:36,27,30,2503,3023
2023-06-22 09:31:39,28,30,2503,3023
2023-06-22 09:31:43,27,30,2503,3023
2023-06-22 09:31:45,28,30,2503,3023
2023-06-22 09:31:47,27,30,2503,3023
2023-06-22 09:31:52,27,29,2503,3023
2023-06-22 09:32:01,27,30,2503,3023
2023-06-22 09:32:04,28,30,2503,3023
2023-06-22 09:32:06,27,30,2503,3023
2023-06-22 09:32:11,27,29,2503,3023
2023-06-22 09:32:13,27,30,2503,3023
2023-06-22 09:32:14,27,29,2503,3023
2023-06-22 09:32:17,27,30,2503,3023
2023-06-22 09:32:18,27,29,2503,3023
2023-06-22 09:32:21,27,30,2503,3023
2023-06-22 09:32:29,28,30,2503,3023
2023-06-22 09:32:34,27,30,2503,3023
2023-06-22 09:32:35,27,29,2503,3023
2023-06-22 09:32:42,27,28,2503,3023
2023-06-22 09:32:49,26,28,2503,3023
2023-06-22 09:32:52,26,27,2503,3023
2023-06-22 09:32:57,26,28,2503,3023
2023-06-22 09:33:00,26,27,2503,3023
2023-06-22 09:33:01,26,28,2503,3023
2023-06-22 09:33:06,25,28,2503,3023
2023-06-22 09:33:13,25,27,2503,3023
2023-06-22 09:33:54,25,28,2503,3023
2023-06-22 09:33:59,25,27,2503,3023
2023-06-22 09:34:16,25,28,2503,3023
2023-06-22 09:34:21,25,27,2503,3023
2023-06-22 09:34:22,25,28,2503,3023
2023-06-22 09:34:28,26,28,2503,3023
2023-06-22 09:34:30,25,28,2503,3023
2023-06-22 09:34:48,25,27,2503,3023
2023-06-22 09:34:49,25,28,2503,3023
2023-06-22 09:34:56,25,27,2503,3023
2023-06-22 09:35:21,25,26,2503,3023
2023-06-22 09:35:35,25,26,2503,3073
2023-06-22 09:35:35,25,26,2503,3123
2023-06-22 09:35:43,24,26,2503,3123
2023-06-22 09:35:45,24,27,2503,3123
2023-06-22 09:35:46,25,27,2503,3123
2023-06-22 09:36:34,25,26,2503,3123
2023-06-22 09:36:47,24,26,2503,3123
2023-06-22 09:36:51,24,25,2503,3123
2023-06-22 09:37:01,23,25,2503,3123
2023-06-22 09:37:05,23,24,2503,3123
2023-06-22 09:37:41,23,25,2503,3123
2023-06-22 09:37:55,23,26,2503,3123
2023-06-22 09:38:01,23,25,2503,3123
2023-06-22 09:38:04,23,26,2503,3123
2023-06-22 09:38:06,24,26,2503,3123
2023-06-22 09:38:06,24,26,2503,3173
2023-06-22 09:38:07,24,26,2503,3223
2023-06-22 09:38:08,24,26,2503,3283
