time,ask
09:30,2
14:20,2
14:21,2
14:22,2
14:23,2
14:24,2
14:25,1
14:26,1
14:27,1
14:28,2
14:29,2
14:30,3
14:31,3
14:32,7
14:33,8
14:34,9
14:35,8
14:36,6
14:37,4
14:38,3
14:39,3
14:40,3
14:41,4
14:42,4
14:43,6
14:44,7
14:45,8
14:46,5
14:47,5
14:48,5
14:49,5
14:50,4
14:51,4
14:52,5
14:53,6
14:54,6
14:55,10
14:56,11
14:57,9
14:58,11
14:59,12
15:00,14
15:01,17
15:02,15
15:03,11
15:04,13
15:05,13
15:06,13
15:07,11
15:08,11
15:09,10
15:10,11
15:11,13
15:12,13
15:13,12
15:14,12
15:15,13
15:16,13
15:17,17
15:18,18
15:19,16
15:20,12
15:21,13
15:22,12
15:23,14
15:24,13
15:25,13
15:26,15
15:27,19
15:28,25
15:29,29
15:30,28
15:31,29
15:32,30
15:33,27
15:34,24
15:35,29
15:36,33
15:37,32
15:38,36
15:39,43
15:40,42
15:41,52
15:42,54
15:43,53
15:44,47
15:45,34
15:46,31
15:47,35
15:48,32
15:49,28
15:50,13
15:51,13
15:52,11
15:53,22
15:54,11
15:55,2
15:56,19
15:57,38
15:58,56
15:59,76
