datetime,bid,ask,open_interest,volume
2023-10-26 09:30:31,17,24,607,607
2023-10-26 09:30:43,2,24,607,607
2023-10-26 09:30:43,16,24,607,607
2023-10-26 09:31:00,19,24,607,607
2023-10-26 09:31:00,20,24,607,607
2023-10-26 09:31:00,21,24,607,607
2023-10-26 09:31:03,20,24,607,607
2023-10-26 09:31:03,21,24,607,607
2023-10-26 09:31:05,20,24,607,607
2023-10-26 09:31:05,21,24,607,607
2023-10-26 09:31:09,20,24,607,607
2023-10-26 09:31:09,21,24,607,607
2023-10-26 09:31:10,20,24,607,607
2023-10-26 09:31:10,21,24,607,607
2023-10-26 09:31:11,20,24,607,607
2023-10-26 09:31:13,20,23,607,607
2023-10-26 09:31:22,19,23,607,607
2023-10-26 09:31:27,20,23,607,607
2023-10-26 09:31:29,19,23,607,607
2023-10-26 09:31:30,20,23,607,607
2023-10-26 09:31:31,19,23,607,607
2023-10-26 09:31:36,19,22,607,607
2023-10-26 09:31:41,19,22,807,807
2023-10-26 09:31:44,19,23,807,807
2023-10-26 09:31:44,19,22,807,807
2023-10-26 09:31:44,20,22,807,807
2023-10-26 09:31:49,19,22,807,807
2023-10-26 09:32:10,20,22,807,807
2023-10-26 09:32:14,20,23,807,807
2023-10-26 09:32:14,20,22,807,807
2023-10-26 09:32:27,19,22,807,807
2023-10-26 09:32:28,20,22,807,807
2023-10-26 09:32:31,19,22,807,807
2023-10-26 09:33:05,19,21,807,807
2023-10-26 09:33:11,18,21,807,807
2023-10-26 09:33:17,18,19,807,807
2023-10-26 09:34:08,18,21,1007,1007
2023-10-26 09:34:20,19,21,1007,1007
2023-10-26 09:35:10,19,20,1007,1007
2023-10-26 09:35:13,19,20,1257,1257
2023-10-26 09:35:32,19,21,1257,1257
2023-10-26 09:35:32,19,20,1257,1257
2023-10-26 09:35:36,19,20,1507,1507
2023-10-26 09:35:37,19,21,1507,1507
2023-10-26 09:36:03,20,21,1507,1507
2023-10-26 09:36:12,19,21,1507,1507
2023-10-26 09:36:12,20,21,1507,1507
2023-10-26 09:36:16,19,21,1507,1507
2023-10-26 09:36:28,19,20,1507,1507
2023-10-26 09:36:29,19,21,1507,1507
2023-10-26 09:36:29,19,20,1507,1507
2023-10-26 09:36:52,19,21,1507,1507
2023-10-26 09:36:52,19,20,1507,1507
2023-10-26 09:36:56,19,21,1507,1507
2023-10-26 09:36:56,19,20,1507,1507
2023-10-26 09:36:58,19,21,1507,1507
2023-10-26 09:37:15,19,20,1507,1507
2023-10-26 09:37:16,19,21,1507,1507
2023-10-26 09:37:20,19,20,1507,1507
2023-10-26 09:37:20,19,21,1507,1507
2023-10-26 09:37:57,20,21,1507,1507
2023-10-26 09:38:26,21,22,1507,1508
2023-10-26 09:38:32,21,22,1757,1758
2023-10-26 09:38:33,21,22,2007,2008
2023-10-26 09:38:52,21,23,2107,2108
2023-10-26 09:38:58,22,23,2107,2108
2023-10-26 09:39:11,22,23,2357,2358
2023-10-26 09:39:11,22,23,2357,2410
2023-10-26 09:39:12,22,24,2507,2560
2023-10-26 09:39:17,23,24,2507,2560
2023-10-26 09:40:23,23,24,2507,2810
2023-10-26 09:40:44,23,24,2508,2811
2023-10-26 09:40:47,22,24,2508,2811
2023-10-26 09:40:56,23,24,2508,2811
2023-10-26 09:41:11,22,24,2508,2811
2023-10-26 09:41:11,23,24,2508,2811
2023-10-26 09:41:40,22,24,2508,2811
2023-10-26 09:41:43,23,24,2508,2811
2023-10-26 09:41:45,22,24,2508,2811
2023-10-26 09:42:20,22,23,2508,2811
2023-10-26 09:42:23,22,24,2508,2811
2023-10-26 09:42:26,22,23,2508,2811
2023-10-26 09:42:27,21,23,2508,2811
2023-10-26 09:42:29,22,23,2508,2811
2023-10-26 09:42:29,22,24,2508,2811
2023-10-26 09:42:30,21,24,2508,2811
2023-10-26 09:42:30,21,23,2508,2811
2023-10-26 09:42:30,21,24,2508,2811
2023-10-26 09:42:30,21,23,2508,2811
2023-10-26 09:42:43,21,22,2508,2811
2023-10-26 09:43:00,21,23,2508,2811
2023-10-26 09:43:04,21,22,2508,2811
2023-10-26 09:43:06,21,23,2508,2811
2023-10-26 09:43:15,22,23,2508,2811
2023-10-26 09:43:15,22,24,2508,2811
2023-10-26 09:43:19,22,23,2508,2811
2023-10-26 09:43:25,22,24,2508,2811
2023-10-26 09:43:29,22,23,2508,2811
2023-10-26 09:43:33,22,24,2508,2811
2023-10-26 09:43:43,22,23,2508,2811
2023-10-26 09:43:44,22,24,2508,2811
2023-10-26 09:43:44,22,23,2508,2811
2023-10-26 09:43:45,22,24,2508,2811
2023-10-26 09:43:49,22,23,2508,2811
2023-10-26 09:43:53,21,23,2508,2811
2023-10-26 09:44:01,21,22,2508,2811
2023-10-26 09:44:31,21,23,2508,2811
2023-10-26 09:44:33,21,22,2508,2811
2023-10-26 09:44:34,21,23,2508,2811
2023-10-26 09:44:53,22,23,2508,2811
2023-10-26 09:45:06,21,23,2508,2811
2023-10-26 09:45:07,22,23,2508,2811
2023-10-26 09:45:07,21,23,2508,2811
2023-10-26 09:45:08,22,23,2508,2811
2023-10-26 09:45:15,22,24,2508,2811
2023-10-26 09:45:25,21,24,2508,2811
2023-10-26 09:45:26,21,23,2508,2811
2023-10-26 09:45:34,21,22,2508,2811
2023-10-26 09:45:45,21,23,2508,2811
2023-10-26 09:45:45,21,22,2508,2811
2023-10-26 09:45:52,21,23,2508,2811
