datetime,bid,ask,open_interest,volume
2023-07-05 09:30:06,5,10,286,412
2023-07-05 09:30:51,5,9,286,412
2023-07-05 09:30:57,6,9,286,412
2023-07-05 09:31:00,3,4,560,686
2023-07-05 09:33:58,3,4,760,886
2023-07-05 09:33:58,2,3,918,1044
2023-07-05 09:33:58,2,4,918,1044
2023-07-05 09:38:14,2,3,918,1044
2023-07-05 09:38:17,2,4,918,1044
2023-07-05 09:38:17,2,3,918,1044
2023-07-05 09:41:18,2,3,1118,1244
2023-07-05 09:41:19,2,3,1133,1259
2023-07-05 09:41:20,2,3,1198,1324
2023-07-05 09:41:21,2,3,1333,1459
2023-07-05 09:41:21,2,3,1398,1524
2023-07-05 09:41:21,1,3,1463,1589
2023-07-05 09:46:10,1,2,1463,1589
2023-07-05 09:47:45,0,2,1493,1619
2023-07-05 09:47:45,0,1,1493,1619
2023-07-05 10:23:06,0,2,1493,1619
2023-07-05 10:55:29,0,1,1493,1619
