datetime,bid,ask,open_interest,volume
2023-06-26 11:19:07,1,2,54,54
2023-06-26 11:19:18,1,2,189,189
2023-06-26 11:19:29,1,2,239,239
2023-06-26 11:19:33,1,2,289,289
2023-06-26 11:19:38,1,2,339,339
2023-06-26 11:19:57,1,2,389,389
2023-06-26 11:20:00,1,2,789,789
2023-06-26 11:20:01,1,2,804,804
2023-06-26 11:20:01,1,2,839,839
2023-06-26 11:20:19,1,2,889,889
2023-06-26 11:20:21,1,2,919,919
2023-06-26 11:21:34,1,2,1019,1019
2023-06-26 11:24:32,1,2,1029,1069
2023-06-26 11:24:34,1,2,1079,1119
2023-06-26 11:27:30,1,2,1109,1149
2023-06-26 11:28:12,0,2,1244,1284
2023-06-26 11:28:19,1,2,1244,1284
2023-06-26 11:28:41,0,2,1309,1349
2023-06-26 12:10:00,1,2,1309,1349
2023-06-26 12:10:08,0,2,1509,1549
2023-06-26 12:10:08,0,1,1509,1549
2023-06-26 12:10:15,1,2,1624,1664
2023-06-26 12:10:16,0,2,1624,1664
2023-06-26 12:10:18,1,2,1624,1664
2023-06-26 12:10:19,0,2,1624,1664
2023-06-26 12:10:19,1,2,1624,1664
2023-06-26 12:11:05,0,1,2239,2279
2023-06-26 12:11:07,0,3,2764,2829
2023-06-26 12:11:15,1,3,2764,2829
2023-06-26 12:11:16,0,3,2764,2829
2023-06-26 12:11:18,1,3,2764,2829
2023-06-26 12:11:18,1,3,2765,2830
2023-06-26 12:16:48,1,3,3265,3330
2023-06-26 12:16:48,1,3,3765,3830
2023-06-26 12:17:04,1,3,4065,4130
2023-06-26 12:17:04,1,3,4565,4630
2023-06-26 12:17:06,1,3,5065,5130
2023-06-26 12:17:06,1,3,5365,5430
2023-06-26 12:17:10,1,3,5865,5930
2023-06-26 12:17:10,1,3,6365,6430
2023-06-26 12:17:18,1,2,6365,6430
2023-06-26 12:17:19,1,3,6365,6430
2023-06-26 12:17:20,1,2,6365,6430
2023-06-26 12:17:21,1,3,6365,6430
2023-06-26 12:17:23,1,2,6365,6430
2023-06-26 12:17:29,1,3,6665,6930
2023-06-26 12:17:29,1,3,6865,7130
2023-06-26 12:17:31,1,3,7365,7630
2023-06-26 12:17:31,1,3,7515,7780
2023-06-26 12:17:32,1,2,7515,7780
2023-06-26 12:17:38,2,3,7515,7980
2023-06-26 12:17:52,1,3,7515,7980
2023-06-26 12:17:53,2,3,7515,7980
2023-06-26 12:17:58,2,3,7515,8180
2023-06-26 12:19:16,2,3,7615,8280
2023-06-26 12:20:06,2,3,8115,8780
2023-06-26 12:20:09,2,3,8615,9280
2023-06-26 12:20:23,2,3,9115,9780
2023-06-26 12:20:27,2,3,9515,10180
2023-06-26 12:20:27,2,3,9915,10580
2023-06-26 12:20:28,2,3,10315,10980
2023-06-26 12:20:30,2,3,10565,11230
2023-06-26 12:20:30,2,3,11065,11730
2023-06-26 12:20:36,2,3,11465,12130
2023-06-26 12:20:37,2,3,11965,12630
2023-06-26 12:20:37,2,3,12465,13130
2023-06-26 12:20:43,2,3,12965,13630
2023-06-26 12:20:50,2,3,13465,14130
2023-06-26 12:20:52,2,3,13965,14630
2023-06-26 12:20:59,2,3,14465,15130
2023-06-26 12:21:02,2,3,14965,15630
2023-06-26 12:21:05,2,3,15365,16030
2023-06-26 12:21:08,2,3,15765,16430
2023-06-26 12:21:13,2,3,16265,16930
2023-06-26 12:21:19,2,3,16598,17263
2023-06-26 12:21:21,2,3,17098,17763
2023-06-26 12:21:24,2,3,17348,18013
2023-06-26 12:21:24,2,3,17848,18513
2023-06-26 12:21:25,2,3,18181,18846
2023-06-26 12:21:27,2,3,18581,19246
2023-06-26 12:21:32,2,3,21914,22579
2023-06-26 12:30:30,2,3,22414,23079
2023-06-26 12:30:39,2,4,26410,27090
2023-06-26 12:31:03,3,4,26410,27090
2023-06-26 12:31:07,2,4,26410,27123
2023-06-26 12:34:21,2,3,26410,27123
2023-06-26 12:39:11,2,4,26580,27293
2023-06-26 12:39:14,3,4,26580,27293
2023-06-26 12:39:52,2,4,26580,27308
2023-06-26 12:40:14,3,4,26580,27308
2023-06-26 12:40:29,3,4,26580,27708
2023-06-26 12:41:02,2,4,26580,27837
2023-06-26 12:41:03,3,4,26580,27837
2023-06-26 12:41:20,2,4,26580,27837
2023-06-26 12:41:20,3,4,26580,27837
2023-06-26 12:41:25,3,5,26580,27867
2023-06-26 12:41:26,4,5,26580,27867
2023-06-26 12:42:54,4,6,26580,27867
2023-06-26 12:42:57,4,6,26582,27869
2023-06-26 12:42:58,5,6,26582,27869
2023-06-26 12:43:52,4,6,26582,27884
2023-06-26 12:44:35,5,6,26582,27884
2023-06-26 12:44:36,4,6,26582,28034
2023-06-26 12:44:38,5,6,26582,28034
2023-06-26 12:45:32,5,6,26582,28434
2023-06-26 12:45:33,5,6,26582,28834
2023-06-26 12:45:33,4,6,26582,28834
2023-06-26 12:46:15,4,5,26582,28834
2023-06-26 12:46:16,4,5,26582,29234
2023-06-26 12:46:17,3,5,26739,29449
2023-06-26 12:46:30,3,4,26739,29449
2023-06-26 12:48:50,3,5,26739,29479
2023-06-26 12:48:54,3,6,26739,29479
2023-06-26 12:50:06,3,5,26739,29479
2023-06-26 12:51:49,3,6,26722,29496
2023-06-26 12:52:06,3,5,26722,29496
2023-06-26 12:52:40,3,6,26722,29496
2023-06-26 12:53:35,3,5,26722,29496
2023-06-26 12:53:36,3,6,26722,29496
2023-06-26 12:53:38,3,5,26722,29496
2023-06-26 12:54:07,3,6,26722,29496
2023-06-26 12:54:10,3,5,26722,29496
2023-06-26 12:54:13,3,6,26722,29496
2023-06-26 12:54:15,3,5,26722,29496
2023-06-26 12:55:20,3,4,26722,29496
2023-06-26 12:55:28,3,5,26722,29496
2023-06-26 12:56:54,3,4,26722,29496
2023-06-26 12:57:27,3,4,26722,29696
2023-06-26 12:58:21,3,4,26722,29896
2023-06-26 13:00:11,2,3,26722,30011
2023-06-26 13:04:47,2,4,26722,30011
2023-06-26 13:11:38,2,3,26722,30011
