time,ask
09:30,46
09:31,31
09:32,30
09:33,28
09:34,28
09:35,29
09:36,29
09:37,27
09:38,28
09:39,28
09:40,29
09:41,29
09:42,30
09:43,30
09:44,30
09:45,30
09:46,29
09:47,29
09:48,28
09:49,29
09:50,28
09:51,29
09:52,28
09:53,27
09:54,26
09:55,27
09:56,27
09:57,28
09:58,28
09:59,28
10:00,27
10:01,28
10:02,27
10:03,28
10:04,28
10:05,28
10:06,28
10:07,29
10:08,29
10:09,28
10:10,27
10:11,27
10:12,24
10:13,23
10:14,23
10:15,23
10:16,22
10:17,22
10:18,20
10:19,20
10:20,20
10:21,20
10:22,19
10:23,19
10:24,19
10:25,18
10:26,18
10:27,16
10:28,16
10:29,15
10:30,13
10:31,12
10:32,11
10:33,10
10:34,11
10:35,11
10:36,11
10:37,10
10:38,10
10:39,11
10:40,11
10:41,11
10:42,11
10:43,12
10:44,11
10:45,10
10:46,10
10:47,10
10:48,9
10:49,9
10:50,9
10:51,8
10:52,8
10:53,8
10:54,10
10:55,9
10:56,9
10:57,9
10:58,9
10:59,7
11:00,5
11:01,6
11:02,6
11:03,7
11:04,7
11:05,7
11:06,7
11:07,6
11:08,6
11:09,7
11:10,7
11:11,7
11:12,8
11:13,8
11:14,8
11:15,7
11:16,8
11:17,9
11:18,9
11:19,10
11:20,10
11:21,10
11:22,10
11:23,9
11:24,9
11:25,9
11:26,9
11:27,9
11:28,8
11:29,8
11:30,7
11:31,8
11:32,9
11:33,10
11:34,9
11:35,10
11:36,11
11:37,11
11:38,12
11:39,12
11:40,13
11:41,12
11:42,13
11:43,14
11:44,14
11:45,14
11:46,15
11:47,16
11:48,15
11:49,14
11:50,11
11:51,11
11:52,11
11:53,11
11:54,11
11:55,11
11:56,11
11:57,11
11:58,11
11:59,10
12:00,11
12:01,10
12:02,11
12:03,11
12:04,12
12:05,11
12:06,11
12:07,10
12:08,9
12:09,8
12:10,8
12:11,9
12:12,11
12:13,12
12:14,13
12:15,12
12:16,11
12:17,10
12:18,10
12:19,11
12:20,10
12:21,11
12:22,12
12:23,11
12:24,10
12:25,11
12:26,10
12:27,10
12:28,10
12:29,9
12:30,8
12:31,8
12:32,8
12:33,9
12:34,9
12:35,11
12:36,11
12:37,10
12:38,9
12:39,10
12:40,10
12:41,10
12:42,10
12:43,11
12:44,10
12:45,9
12:46,9
12:47,9
12:48,10
12:49,10
12:50,9
12:51,9
12:52,8
12:53,9
12:54,10
12:55,10
12:56,12
12:57,13
12:58,12
12:59,10
13:00,8
13:01,7
13:02,6
13:03,5
13:04,5
13:05,4
13:06,4
13:07,4
13:08,4
13:09,4
13:10,4
13:11,4
13:12,3
13:13,3
13:14,3
13:15,3
13:16,3
13:17,5
13:18,4
13:19,6
13:20,14
13:21,19
13:22,15
13:23,18
13:24,19
13:25,25
13:26,23
13:27,19
13:28,15
13:29,13
13:30,13
13:31,13
13:32,12
13:33,12
13:34,13
13:35,13
13:36,10
13:37,10
13:38,9
13:39,9
13:40,7
13:41,5
13:42,5
13:43,5
13:44,4
13:45,4
13:46,5
13:47,5
13:48,5
13:49,5
13:50,5
13:51,5
13:52,5
13:53,5
13:54,4
13:55,4
13:56,4
13:57,4
13:58,4
13:59,4
14:00,4
14:01,4
14:02,5
14:03,5
14:04,4
14:05,4
14:06,5
14:07,5
14:08,5
14:09,5
14:10,3
14:11,3
14:12,3
14:13,4
14:14,4
14:15,4
14:16,4
14:17,5
14:18,5
14:19,4
14:20,4
14:21,4
14:22,5
14:23,6
14:24,6
14:25,5
14:26,4
14:27,5
14:28,5
14:29,5
14:30,6
14:31,6
14:32,6
14:33,6
14:34,5
14:35,5
14:36,5
14:37,5
14:38,7
14:39,6
14:40,7
14:41,6
14:42,6
14:43,6
14:44,5
14:45,4
14:46,4
14:47,5
14:48,4
14:49,4
14:50,4
14:51,3
14:52,3
14:53,3
14:54,3
14:55,3
14:56,3
14:57,3
14:58,3
14:59,3
15:00,3
15:01,3
15:02,3
15:03,3
15:04,3
15:05,1
15:06,1
15:07,1
15:08,1
15:09,1
15:10,1
15:11,1
15:12,1
15:13,1
15:14,1
15:15,1
15:16,1
15:17,1
15:18,1
15:19,1
15:20,1
15:21,1
15:22,1
15:23,1
15:24,1
15:25,1
15:26,1
15:27,1
15:28,1
15:29,1
15:30,1
15:31,1
15:32,1
15:33,1
15:34,1
15:35,1
15:36,1
15:37,1
15:38,1
15:39,1
15:40,1
15:41,1
15:42,1
15:43,1
15:44,1
15:45,1
15:46,1
15:47,1
15:48,1
15:49,1
15:50,1
15:51,1
15:52,1
15:53,1
15:54,1
15:55,1
15:56,1
15:57,1
15:58,1
15:59,1
